testb0   ---D---- ---S---- CZ = ---Q---- CZ
00  000  00000000 00000000 00 = 00000000 00
00  001  00000000 00000000 01 = 00000000 01
00  002  00000000 00000000 10 = 00000000 00
00  003  00000000 00000000 11 = 00000000 01
00  004  00000001 00000000 00 = 00000001 10
00  005  00000001 00000000 01 = 00000001 11
00  006  00000001 00000000 10 = 00000001 10
00  007  00000001 00000000 11 = 00000001 11
00  008  00000002 00000000 00 = 00000002 00
00  009  00000002 00000000 01 = 00000002 01
00  00A  00000002 00000000 10 = 00000002 00
00  00B  00000002 00000000 11 = 00000002 01
00  00C  7FFFFFFF 00000000 00 = 7FFFFFFF 10
00  00D  7FFFFFFF 00000000 01 = 7FFFFFFF 11
00  00E  7FFFFFFF 00000000 10 = 7FFFFFFF 10
00  00F  7FFFFFFF 00000000 11 = 7FFFFFFF 11
00  010  80000000 00000000 00 = 80000000 00
00  011  80000000 00000000 01 = 80000000 01
00  012  80000000 00000000 10 = 80000000 00
00  013  80000000 00000000 11 = 80000000 01
00  014  80000001 00000000 00 = 80000001 10
00  015  80000001 00000000 01 = 80000001 11
00  016  80000001 00000000 10 = 80000001 10
00  017  80000001 00000000 11 = 80000001 11
00  018  FFFFFFFE 00000000 00 = FFFFFFFE 00
00  019  FFFFFFFE 00000000 01 = FFFFFFFE 01
00  01A  FFFFFFFE 00000000 10 = FFFFFFFE 00
00  01B  FFFFFFFE 00000000 11 = FFFFFFFE 01
00  01C  FFFFFFFF 00000000 00 = FFFFFFFF 10
00  01D  FFFFFFFF 00000000 01 = FFFFFFFF 11
00  01E  FFFFFFFF 00000000 10 = FFFFFFFF 10
00  01F  FFFFFFFF 00000000 11 = FFFFFFFF 11
00  020  00000000 00000001 00 = 00000000 00
00  021  00000000 00000001 01 = 00000000 01
00  022  00000000 00000001 10 = 00000000 00
00  023  00000000 00000001 11 = 00000000 01
00  024  00000001 00000001 00 = 00000001 00
00  025  00000001 00000001 01 = 00000001 01
00  026  00000001 00000001 10 = 00000001 00
00  027  00000001 00000001 11 = 00000001 01
00  028  00000002 00000001 00 = 00000002 10
00  029  00000002 00000001 01 = 00000002 11
00  02A  00000002 00000001 10 = 00000002 10
00  02B  00000002 00000001 11 = 00000002 11
00  02C  7FFFFFFF 00000001 00 = 7FFFFFFF 10
00  02D  7FFFFFFF 00000001 01 = 7FFFFFFF 11
00  02E  7FFFFFFF 00000001 10 = 7FFFFFFF 10
00  02F  7FFFFFFF 00000001 11 = 7FFFFFFF 11
00  030  80000000 00000001 00 = 80000000 00
00  031  80000000 00000001 01 = 80000000 01
00  032  80000000 00000001 10 = 80000000 00
00  033  80000000 00000001 11 = 80000000 01
00  034  80000001 00000001 00 = 80000001 00
00  035  80000001 00000001 01 = 80000001 01
00  036  80000001 00000001 10 = 80000001 00
00  037  80000001 00000001 11 = 80000001 01
00  038  FFFFFFFE 00000001 00 = FFFFFFFE 10
00  039  FFFFFFFE 00000001 01 = FFFFFFFE 11
00  03A  FFFFFFFE 00000001 10 = FFFFFFFE 10
00  03B  FFFFFFFE 00000001 11 = FFFFFFFE 11
00  03C  FFFFFFFF 00000001 00 = FFFFFFFF 10
00  03D  FFFFFFFF 00000001 01 = FFFFFFFF 11
00  03E  FFFFFFFF 00000001 10 = FFFFFFFF 10
00  03F  FFFFFFFF 00000001 11 = FFFFFFFF 11
00  040  00000000 00000002 00 = 00000000 00
00  041  00000000 00000002 01 = 00000000 01
00  042  00000000 00000002 10 = 00000000 00
00  043  00000000 00000002 11 = 00000000 01
00  044  00000001 00000002 00 = 00000001 00
00  045  00000001 00000002 01 = 00000001 01
00  046  00000001 00000002 10 = 00000001 00
00  047  00000001 00000002 11 = 00000001 01
00  048  00000002 00000002 00 = 00000002 00
00  049  00000002 00000002 01 = 00000002 01
00  04A  00000002 00000002 10 = 00000002 00
00  04B  00000002 00000002 11 = 00000002 01
00  04C  7FFFFFFF 00000002 00 = 7FFFFFFF 10
00  04D  7FFFFFFF 00000002 01 = 7FFFFFFF 11
00  04E  7FFFFFFF 00000002 10 = 7FFFFFFF 10
00  04F  7FFFFFFF 00000002 11 = 7FFFFFFF 11
00  050  80000000 00000002 00 = 80000000 00
00  051  80000000 00000002 01 = 80000000 01
00  052  80000000 00000002 10 = 80000000 00
00  053  80000000 00000002 11 = 80000000 01
00  054  80000001 00000002 00 = 80000001 00
00  055  80000001 00000002 01 = 80000001 01
00  056  80000001 00000002 10 = 80000001 00
00  057  80000001 00000002 11 = 80000001 01
00  058  FFFFFFFE 00000002 00 = FFFFFFFE 10
00  059  FFFFFFFE 00000002 01 = FFFFFFFE 11
00  05A  FFFFFFFE 00000002 10 = FFFFFFFE 10
00  05B  FFFFFFFE 00000002 11 = FFFFFFFE 11
00  05C  FFFFFFFF 00000002 00 = FFFFFFFF 10
00  05D  FFFFFFFF 00000002 01 = FFFFFFFF 11
00  05E  FFFFFFFF 00000002 10 = FFFFFFFF 10
00  05F  FFFFFFFF 00000002 11 = FFFFFFFF 11
00  060  00000000 7FFFFFFF 00 = 00000000 00
00  061  00000000 7FFFFFFF 01 = 00000000 01
00  062  00000000 7FFFFFFF 10 = 00000000 00
00  063  00000000 7FFFFFFF 11 = 00000000 01
00  064  00000001 7FFFFFFF 00 = 00000001 00
00  065  00000001 7FFFFFFF 01 = 00000001 01
00  066  00000001 7FFFFFFF 10 = 00000001 00
00  067  00000001 7FFFFFFF 11 = 00000001 01
00  068  00000002 7FFFFFFF 00 = 00000002 00
00  069  00000002 7FFFFFFF 01 = 00000002 01
00  06A  00000002 7FFFFFFF 10 = 00000002 00
00  06B  00000002 7FFFFFFF 11 = 00000002 01
00  06C  7FFFFFFF 7FFFFFFF 00 = 7FFFFFFF 00
00  06D  7FFFFFFF 7FFFFFFF 01 = 7FFFFFFF 01
00  06E  7FFFFFFF 7FFFFFFF 10 = 7FFFFFFF 00
00  06F  7FFFFFFF 7FFFFFFF 11 = 7FFFFFFF 01
00  070  80000000 7FFFFFFF 00 = 80000000 10
00  071  80000000 7FFFFFFF 01 = 80000000 11
00  072  80000000 7FFFFFFF 10 = 80000000 10
00  073  80000000 7FFFFFFF 11 = 80000000 11
00  074  80000001 7FFFFFFF 00 = 80000001 10
00  075  80000001 7FFFFFFF 01 = 80000001 11
00  076  80000001 7FFFFFFF 10 = 80000001 10
00  077  80000001 7FFFFFFF 11 = 80000001 11
00  078  FFFFFFFE 7FFFFFFF 00 = FFFFFFFE 10
00  079  FFFFFFFE 7FFFFFFF 01 = FFFFFFFE 11
00  07A  FFFFFFFE 7FFFFFFF 10 = FFFFFFFE 10
00  07B  FFFFFFFE 7FFFFFFF 11 = FFFFFFFE 11
