instr   ---r3--- ---r2--- CZ ---r1--- = ---r1--- CZ ---r2--- ---r3---
altsn   12345678 7893FC03 00 00000028 = 0000002A 00 7893FC03 12345678
altsn   12345678 7893FC03 00 00000029 = 000000A7 00 7893FC03 12345678
altsn   12345678 7893FC03 00 0000002A = 00000A28 00 7893FC03 12345678
altsn   12345678 7893FC03 00 0000002B = 0000A029 00 7893FC03 12345678
altsn   12345678 7893FC03 00 0000002C = 000A002A 00 7893FC03 12345678
altsn   12345678 7893FC03 00 0000002D = 00A0002B 00 7893FC03 12345678
altsn   12345678 7893FC03 00 0000002E = 0A00002C 00 7893FC03 12345678
altsn   12345678 7893FC03 00 0000002F = A000002D 00 7893FC03 12345678
altsn   12345678 7893FC03 00 00000030 = 0000002E 00 7893FC0A 12345678
altsn   12345678 7893FC03 00 00000031 = 0000002F 00 7893FCA3 12345678
altsn   12345678 7893FC03 00 00000032 = 00000030 00 7893FA03 12345678
altsn   12345678 7893FC03 00 00000033 = 00000031 00 7893AC03 12345678
altsn   12345678 7893FC03 00 00000034 = 00000032 00 789AFC03 12345678
altsn   12345678 7893FC03 00 00000035 = 00000033 00 78A3FC03 12345678
altsn   12345678 7893FC03 00 00000036 = 00000034 00 7A93FC03 12345678
altsn   12345678 7893FC03 00 00000037 = 00000035 00 A893FC03 12345678
altsn   12345678 7893FC03 00 00000038 = 00000036 00 7893FC03 1234567A
altsn   12345678 7893FC03 00 00000039 = 00000037 00 7893FC03 123456A8
altsn   12345678 7893FC03 00 0000003A = 00000038 00 7893FC03 12345A78
altsn   12345678 7893FC03 00 0000003B = 00000039 00 7893FC03 1234A678
altsn   12345678 7893FC03 00 0000003C = 0000003A 00 7893FC03 123A5678
altsn   12345678 7893FC03 00 0000003D = 0000003B 00 7893FC03 12A45678
altsn   12345678 7893FC03 00 0000003E = 0000003C 00 7893FC03 1A345678
altsn   12345678 7893FC03 00 0000003F = 0000003D 00 7893FC03 A2345678
altsn   12345678 7893FE03 00 00000028 = 0000002A 00 7893FE03 12345678
altsn   12345678 7893FE03 00 00000029 = 000000A8 00 7893FE03 12345678
altsn   12345678 7893FE03 00 0000002A = 00000A29 00 7893FE03 12345678
altsn   12345678 7893FE03 00 0000002B = 0000A02A 00 7893FE03 12345678
altsn   12345678 7893FE03 00 0000002C = 000A002B 00 7893FE03 12345678
altsn   12345678 7893FE03 00 0000002D = 00A0002C 00 7893FE03 12345678
altsn   12345678 7893FE03 00 0000002E = 0A00002D 00 7893FE03 12345678
altsn   12345678 7893FE03 00 0000002F = A000002E 00 7893FE03 12345678
altsn   12345678 7893FE03 00 00000030 = 0000002F 00 7893FE0A 12345678
altsn   12345678 7893FE03 00 00000031 = 00000030 00 7893FEA3 12345678
altsn   12345678 7893FE03 00 00000032 = 00000031 00 7893FA03 12345678
altsn   12345678 7893FE03 00 00000033 = 00000032 00 7893AE03 12345678
altsn   12345678 7893FE03 00 00000034 = 00000033 00 789AFE03 12345678
altsn   12345678 7893FE03 00 00000035 = 00000034 00 78A3FE03 12345678
altsn   12345678 7893FE03 00 00000036 = 00000035 00 7A93FE03 12345678
altsn   12345678 7893FE03 00 00000037 = 00000036 00 A893FE03 12345678
altsn   12345678 7893FE03 00 00000038 = 00000037 00 7893FE03 1234567A
altsn   12345678 7893FE03 00 00000039 = 00000038 00 7893FE03 123456A8
altsn   12345678 7893FE03 00 0000003A = 00000039 00 7893FE03 12345A78
altsn   12345678 7893FE03 00 0000003B = 0000003A 00 7893FE03 1234A678
altsn   12345678 7893FE03 00 0000003C = 0000003B 00 7893FE03 123A5678
altsn   12345678 7893FE03 00 0000003D = 0000003C 00 7893FE03 12A45678
altsn   12345678 7893FE03 00 0000003E = 0000003D 00 7893FE03 1A345678
altsn   12345678 7893FE03 00 0000003F = 0000003E 00 7893FE03 A2345678
altsn   12345678 7893FE03 00 00000028 = 0000002A 00 7893FE03 12345678
altsn   12345678 7893FE03 00 00000029 = 000000A8 00 7893FE03 12345678
altsn   12345678 7893FE03 00 0000002A = 00000A29 00 7893FE03 12345678
altsn   12345678 7893FE03 00 0000002B = 0000A02A 00 7893FE03 12345678
altsn   12345678 7893FE03 00 0000002C = 000A002B 00 7893FE03 12345678
altsn   12345678 7893FE03 00 0000002D = 00A0002C 00 7893FE03 12345678
altsn   12345678 7893FE03 00 0000002E = 0A00002D 00 7893FE03 12345678
altsn   12345678 7893FE03 00 0000002F = A000002E 00 7893FE03 12345678
altsn   12345678 7893FE03 00 00000030 = 0000002F 00 7893FE0A 12345678
altsn   12345678 7893FE03 00 00000031 = 00000030 00 7893FEA3 12345678
altsn   12345678 7893FE03 00 00000032 = 00000031 00 7893FA03 12345678
